ID,title,urgency_code,status_code,createdAt,createdBy,modifiedAt,modifiedBy
00000000-0000-0000-0000-000000000001,Network Outage in Building A,H,C,2025-11-01T08:00:00Z,alice@example.com,2025-11-02T10:00:00Z,bob@example.com
00000000-0000-0000-0000-000000000002,Printer Not Working on Floor 3,L,C,2025-11-05T09:30:00Z,carol@example.com,2025-11-06T11:00:00Z,carol@example.com
00000000-0000-0000-0000-000000000003,Email Server Slow Response,M,I,2025-11-10T14:00:00Z,dave@example.com,2025-11-11T08:00:00Z,alice@example.com
00000000-0000-0000-0000-000000000004,VPN Access Denied for Remote Staff,H,N,2025-11-12T07:00:00Z,eve@example.com,2025-11-12T09:00:00Z,bob@example.com
00000000-0000-0000-0000-000000000005,Database Backup Failure,H,I,2025-11-13T06:00:00Z,bob@example.com,2025-11-13T10:00:00Z,alice@example.com
00000000-0000-0000-0000-000000000006,Wi-Fi Dropping in Conference Rooms,M,C,2025-11-14T09:00:00Z,carol@example.com,2025-11-15T08:00:00Z,frank@example.com
00000000-0000-0000-0000-000000000007,Laptop Won't Boot After Update,M,C,2025-11-15T08:30:00Z,dave@example.com,2025-11-15T14:00:00Z,bob@example.com
00000000-0000-0000-0000-000000000008,File Share Drive Inaccessible,H,C,2025-11-16T07:45:00Z,alice@example.com,2025-11-16T11:00:00Z,dave@example.com
00000000-0000-0000-0000-000000000009,Slack Notifications Not Working,L,N,2025-11-17T10:00:00Z,eve@example.com,2025-11-17T10:30:00Z,eve@example.com
00000000-0000-0000-0000-00000000000a,Payroll System Login Error,H,I,2025-11-18T08:00:00Z,frank@example.com,2025-11-18T09:00:00Z,alice@example.com
00000000-0000-0000-0000-00000000000b,Monitor Display Flickering at Desk 12,L,C,2025-11-19T09:15:00Z,carol@example.com,2025-11-19T12:00:00Z,bob@example.com
00000000-0000-0000-0000-00000000000c,Firewall Blocking Internal App,H,I,2025-11-20T07:00:00Z,dave@example.com,2025-11-20T09:00:00Z,frank@example.com
00000000-0000-0000-0000-00000000000d,Office 365 License Expired,M,C,2025-11-21T08:30:00Z,alice@example.com,2025-11-21T10:00:00Z,alice@example.com
00000000-0000-0000-0000-00000000000e,CCTV Camera Offline in Lobby,M,N,2025-11-22T06:00:00Z,bob@example.com,2025-11-22T06:30:00Z,bob@example.com
00000000-0000-0000-0000-00000000000f,Slow Internet on Level 5,M,I,2025-11-23T09:00:00Z,eve@example.com,2025-11-23T11:00:00Z,carol@example.com
00000000-0000-0000-0000-000000000010,Antivirus Update Failing on Workstations,M,C,2025-11-24T07:30:00Z,frank@example.com,2025-11-24T10:00:00Z,dave@example.com